Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,goal_time_h,goal_time_a,finished,red_cards_h,red_cards_a,BbAv>2.5,PSCH,PSCD,PSCA
E0,16/12/2018,Brighton,Chelsea,1,2,66,"17,33",94,,,1.84,8.63,4.58,1.45
E0,16/12/2018,Liverpool,Man United,3,1,"24,73,80",33,93,,,1.68,1.55,4.26,7.09
E0,16/12/2018,Southampton,Arsenal,3,2,"20,44,85","28,53",95,,,1.6,4.52,4,1.82
E0,21/12/2018,Wolves,Liverpool,0,2,,"18,68",95,,,1.96,7.49,4.16,1.54
E0,22/12/2018,Arsenal,Burnley,3,1,"14,48,91",63,95,,,1.46,1.2,7.15,15.42
E0,22/12/2018,Bournemouth,Brighton,2,0,"21,77",,94,,,1.95,2.03,3.5,4.14
E0,22/12/2018,Cardiff,Man United,1,5,38,"3,29,41,57,90",93,,,1.8,6.9,4.32,1.55
E0,22/12/2018,Chelsea,Leicester,0,1,,51,94,,,1.67,1.34,5.48,10.52
E0,22/12/2018,Huddersfield,Southampton,1,3,58,"15,42,71",95,,,2.4,2.9,3.1,2.85
E0,22/12/2018,Man City,Crystal Palace,2,3,"27,85","33,35,52",95,,,1.35,1.17,7.9,19.72
E0,22/12/2018,Newcastle,Fulham,0,0,,,94,,,1.93,2.39,3.26,3.41
E0,22/12/2018,West Ham,Watford,0,2,,"30,87",93,,,1.74,2.5,3.53,2.98
E0,23/12/2018,Everton,Tottenham,2,6,"21,51","27,35,42,48,61,74",93,,,1.77,3.48,3.76,2.15
E0,26/12/2018,Brighton,Arsenal,1,1,35,7,93,,,1.75,5.48,3.89,1.72
E0,26/12/2018,Burnley,Everton,1,5,37,"2,13,22,71,92",93,,,2.03,4.38,3.65,1.93
E0,26/12/2018,Crystal Palace,Cardiff,0,0,,,94,,,1.9,1.66,3.79,6.44
E0,26/12/2018,Fulham,Wolves,1,1,74,85,93,,,2.05,2.96,3.15,2.76
E0,26/12/2018,Leicester,Man City,2,1,"19,81",14,94,,89,1.6,9.58,5.9,1.33
E0,26/12/2018,Liverpool,Newcastle,4,0,"11,48,79,85",,93,,,1.42,1.16,8.43,19.78
E0,26/12/2018,Man United,Huddersfield,3,1,"28,64,78",88,93,,,1.65,1.27,6.13,13.45
E0,26/12/2018,Tottenham,Bournemouth,5,0,"16,23,35,61,70",,93,,,1.48,1.37,5.38,9.25
E0,26/12/2018,Watford,Chelsea,1,2,45,"46,58",94,,,1.74,5.74,4.01,1.67
E0,27/12/2018,Southampton,West Ham,1,2,50,"53,59",94,,,1.79,2.32,3.37,3.43
E0,29/12/2018,Brighton,Everton,1,0,59,,94,,,2.01,3.27,3.34,2.41
E0,29/12/2018,Fulham,Huddersfield,1,0,91,,94,,,2.29,2.07,3.26,4.33
E0,29/12/2018,Leicester,Cardiff,0,1,,91,96,,,1.9,1.6,3.81,7.44
E0,29/12/2018,Liverpool,Arsenal,5,1,"14,16,32,45,65",11,93,,,1.51,1.39,5.54,7.97
E0,29/12/2018,Tottenham,Wolves,1,3,22,"72,83,87",95,,,1.68,1.47,4.47,8.39
E0,29/12/2018,Watford,Newcastle,1,1,82,29,93,,,1.99,1.79,3.67,5.26
E0,30/12/2018,Burnley,West Ham,2,0,"15,34",,94,,,1.91,3.86,3.57,2.08
E0,30/12/2018,Crystal Palace,Chelsea,0,1,,51,94,,,1.86,5.19,3.79,1.77
E0,30/12/2018,Man United,Bournemouth,4,1,"5,33,45,72",45,94,79,,1.54,1.39,5.35,8.55
E0,30/12/2018,Southampton,Man City,1,3,37,"10,45,45",93,85,,1.54,12.58,7.05,1.23
E0,01/01/2019,Arsenal,Fulham,4,1,"25,55,79,83",69,93,,,1.44,1.39,5.24,8.13
E0,01/01/2019,Cardiff,Tottenham,0,3,,"3,12,26",93,,,1.67,8.88,4.84,1.4
E0,01/01/2019,Everton,Leicester,0,1,,58,93,,,1.97,2,3.58,4.15
E0,02/01/2019,Bournemouth,Watford,3,3,"34,37,40","14,27,38",93,,,1.74,2.6,3.47,2.89
E0,02/01/2019,Chelsea,Southampton,0,0,,,95,,,1.51,1.26,6.11,12.48
E0,02/01/2019,Huddersfield,Burnley,1,2,33,"40,74",96,41,90,2.45,2.49,3.04,3.47
E0,02/01/2019,Newcastle,Man United,0,2,,"64,8",96,,,1.64,5.93,4.1,1.62
E0,02/01/2019,West Ham,Brighton,2,2,"66,68","56,58",94,,,1.9,2.05,3.55,4.01
E0,02/01/2019,Wolves,Crystal Palace,0,2,,"83,94",95,,,2.23,2.34,3.17,3.62
E0,03/01/2019,Man City,Liverpool,2,1,"40,72",64,95,,,1.54,2,3.86,3.84
E0,12/01/2019,Brighton,Liverpool,0,1,,50,95,,,1.72,10.06,5.37,1.34
E0,12/01/2019,Burnley,Fulham,2,1,"20,23",2,93,,,2.08,2.47,3.27,3.22
E0,12/01/2019,Cardiff,Huddersfield,0,0,,,93,,,2.5,2.16,3.24,4
E0,12/01/2019,Chelsea,Newcastle,2,1,"9,57",40,94,,,1.68,1.2,6.8,19.3
E0,12/01/2019,Crystal Palace,Watford,1,2,38,"67,74",95,,,2.09,2.36,3.36,3.32
E0,12/01/2019,Leicester,Southampton,1,2,58,"11,45",94,,,2.05,1.96,3.39,4.56
E0,12/01/2019,West Ham,Arsenal,1,0,48,,93,,,1.51,3.58,3.95,2.05
E0,13/01/2019,Everton,Bournemouth,2,0,"61,94",,96,,,1.68,1.71,4.01,5.32
E0,13/01/2019,Tottenham,Man United,0,1,,44,95,,,1.63,2.11,3.53,3.8
E0,14/01/2019,Man City,Wolves,3,0,"10,39,78",,93,,19,1.47,1.2,7.16,17.03
E0,19/01/2019,Arsenal,Chelsea,2,0,"14,39",,96,,,1.67,3.36,3.49,2.3
E0,19/01/2019,Bournemouth,West Ham,2,0,"54,91",,93,,,1.63,2.14,3.7,3.52
E0,19/01/2019,Liverpool,Crystal Palace,4,3,"46,53,75,92","34,65,94",96,89,,1.49,1.24,6.86,12.02
E0,19/01/2019,Man United,Brighton,2,1,"27,42",72,95,,,1.68,1.38,5.02,9.59
E0,19/01/2019,Newcastle,Cardiff,3,0,"24,63,92",,95,,,2.3,2.13,3.15,4.24
E0,19/01/2019,Southampton,Everton,2,1,"50,64",91,98,,,1.9,2.94,3.41,2.57
E0,19/01/2019,Watford,Burnley,0,0,,,94,,,1.83,1.78,3.77,5.09
E0,19/01/2019,Wolves,Leicester,4,3,"4,12,64,92","47,51,87",94,93,,2.38,2.35,3.23,3.53
E0,20/01/2019,Fulham,Tottenham,1,2,17,"51,92",94,,,1.87,5.58,3.71,1.72
E0,20/01/2019,Huddersfield,Man City,0,3,,"18,54,56",93,,,1.49,24.77,9.86,1.12
E0,29/01/2019,Arsenal,Cardiff,2,1,"66,83",92,96,,,1.41,1.22,6.98,13.34
E0,29/01/2019,Fulham,Brighton,4,2,"47,58,74,79","3,17",95,,,2.23,2.5,3.24,3.2
E0,29/01/2019,Huddersfield,Everton,0,1,,3,95,,66,2.26,3.72,3.21,2.27
E0,29/01/2019,Man United,Burnley,2,2,"87,91","51,81",95,,,1.55,1.34,5.22,10.33
E0,29/01/2019,Newcastle,Man City,2,1,"66,8",1,95,,,1.46,15.43,8.13,1.18
E0,29/01/2019,Wolves,West Ham,3,0,"66,80,86",,95,,,1.96,1.99,3.54,4.18
E0,30/01/2019,Bournemouth,Chelsea,4,0,"47,63,75,94",,95,,,1.68,5.71,4.15,1.64
E0,30/01/2019,Liverpool,Leicester,1,1,3,45,94,,,1.51,1.24,6.8,12.34
E0,30/01/2019,Southampton,Crystal Palace,1,1,77,41,94,,87,1.98,2.52,3.3,3.1
E0,30/01/2019,Tottenham,Watford,2,1,"80,87",38,94,,,1.72,1.58,4.2,6.48
E0,02/02/2019,Brighton,Watford,0,0,,,92,,,2.17,2.5,3.24,3.2
E0,02/02/2019,Burnley,Southampton,1,1,93,55,94,,,2.06,2.59,3.36,2.95
E0,02/02/2019,Cardiff,Bournemouth,2,0,"5,46",,94,,,1.92,3.43,3.53,2.25
E0,02/02/2019,Chelsea,Huddersfield,5,0,"16,46,66,69,86",,93,,,1.63,1.23,6.54,15.2
E0,02/02/2019,Crystal Palace,Fulham,2,0,"25,87",,96,,,1.98,2.06,3.45,4.03
E0,02/02/2019,Everton,Wolves,1,3,27,"7,45,66",97,,,2.06,2.74,3.21,2.9
E0,02/02/2019,Tottenham,Newcastle,1,0,83,,94,,,1.84,1.44,4.39,9.48
E0,03/02/2019,Leicester,Man United,0,1,,9,94,,,1.81,3.9,3.61,2.06
E0,03/02/2019,Man City,Arsenal,3,1,"1,44,61",11,93,,,1.35,1.26,7.19,10.35
E0,04/02/2019,West Ham,Liverpool,1,1,28,22,93,,,1.59,8.97,5.93,1.33
E0,06/02/2019,Everton,Man City,0,2,,"45,96",97,,,1.49,9.95,6.15,1.3
E0,09/02/2019,Brighton,Burnley,1,3,76,"26,61,74",94,,,2.29,2.05,3.34,4.29
E0,09/02/2019,Crystal Palace,West Ham,1,1,76,27,94,,,2.01,1.98,3.6,4.17
E0,09/02/2019,Fulham,Man United,0,3,,"14,23,65",93,,,1.6,5.1,3.98,1.74
E0,09/02/2019,Huddersfield,Arsenal,1,2,92,"16,44",95,,,1.79,5.65,3.99,1.67
E0,09/02/2019,Liverpool,Bournemouth,3,0,"24,34,48",,94,,,1.41,1.17,8.75,16
E0,09/02/2019,Southampton,Cardiff,1,2,91,"69,92",96,,,2.06,1.86,3.46,5.08
E0,09/02/2019,Watford,Everton,1,0,65,,94,,94,1.92,2.56,3.33,3.03
